iter	Passed	Remaining
400	25422	37975
401	25507	37943
402	25571	37881
403	25631	37812
404	25722	37790
405	25772	37706
406	25841	37650
407	25891	37567
408	25940	37483
409	26057	37498
410	26156	37484
411	26203	37397
412	26267	37334
413	26331	37271
414	26391	37203
415	26483	37179
416	26536	37100
417	26613	37054
418	26672	36984
419	26760	36955
420	26842	36917
421	26913	36861
422	26992	36820
423	27052	36751
424	27123	36696
425	27178	36620
426	27220	36528
427	27296	36480
428	27361	36418
429	27430	36361
430	27505	36313
431	27581	36264
432	27663	36224
433	27724	36156
434	27779	36080
435	27832	36003
436	27893	35935
437	27977	35897
438	28072	35873
439	28121	35791
440	28189	35732
441	28258	35674
442	28307	35592
443	28381	35540
444	28427	35454
445	28497	35398
446	28547	35317
447	28614	35256
448	28659	35169
449	28713	35094
450	28780	35033
451	28819	34940
452	28875	34867
453	28930	34793
454	28987	34721
455	29043	34648
456	29086	34559
457	29147	34493
458	29223	34444
459	29299	34394
460	29371	34340
461	29433	34275
462	29497	34212
463	29542	34126
464	29584	34038
465	29636	33960
466	29727	33928
467	29790	33864
468	29837	33781
469	29903	33721
470	29968	33658
471	30041	33606
472	30096	33532
473	30157	33465
474	30225	33406
475	30309	33365
476	30376	33306
477	30436	33238
478	30486	33159
479	30564	33111
480	30629	33049
481	30708	33001
482	30778	32944
483	30858	32898
484	30904	32815
485	30941	32724
486	30990	32645
487	31033	32559
488	31098	32497
489	31177	32450
490	31243	32388
491	31281	32299
492	31374	32265
493	31417	32180
494	31495	32132
495	31549	32058
496	31622	32003
497	31675	31930
498	31717	31844
499	31779	31779
500	31826	31699
501	31877	31623
502	31936	31555
503	32004	31496
504	32059	31424
505	32107	31345
506	32184	31295
507	32237	31221
508	32288	31146
509	32344	31076
510	32423	31027
511	32469	30947
512	32548	30899
513	32645	30867
514	32701	30796
515	32757	30725
516	32819	30661
517	32898	30611
518	32955	30542
519	33012	30472
520	33074	30407
521	33117	30325
522	33168	30250
523	33228	30185
524	33326	30152
525	33382	30082
526	33428	30003
527	33490	29938
528	33557	29878
529	33626	29819
530	33755	29814
531	33816	29748
532	33890	29693
533	33953	29630
534	34019	29568
535	34104	29523
536	34193	29481
537	34254	29415
538	34339	29370
539	34403	29306
540	34457	29234
541	34526	29175
542	34596	29117
543	34658	29052
544	34726	28992
545	34781	28921
546	34842	28855
547	34883	28772
548	34954	28715
549	35007	28642
550	35090	28594
551	35153	28530
552	35228	28475
553	35296	28415
554	35375	28364
555	35439	28300
556	35488	28225
557	35543	28154
558	35595	28081
559	35667	28024
560	35713	27946
561	35780	27886
562	35846	27824
563	35891	27745
564	35961	27687
565	36027	27625
566	36078	27552
567	36140	27487
568	36210	27428
569	36262	27355
570	36321	27289
571	36377	27219
572	36416	27137
573	36481	27074
574	36536	27005
575	36600	26942
576	36651	26869
577	36693	26789
578	36754	26724
579	36825	26666
580	36884	26600
581	36949	26537
582	37004	26468
583	37067	26404
584	37118	26332
585	37178	26266
586	37224	26190
587	37283	26123
588	37343	26058
589	37405	25993
590	37482	25939
591	37542	25874
592	37602	25808
593	37669	25747
594	37728	25680
595	37801	25623
596	37850	25550
597	37926	25495
598	37995	25436
599	38049	25366
600	38097	25292
601	38146	25219
602	38204	25152
603	38261	25085
604	38312	25014
605	38378	24952
606	38459	24900
607	38506	24826
608	38574	24765
609	38638	24703
610	38720	24651
611	38796	24596
612	38863	24535
613	38950	24486
614	39022	24428
615	39077	24360
616	39146	24300
617	39227	24247
618	39301	24190
619	39356	24121
620	39403	24048
621	39524	24019
622	39614	23971
623	39728	23938
624	39769	23861
625	39842	23803
626	39929	23753
627	40010	23700
628	40084	23642
629	40150	23580
630	40206	23512
631	40281	23454
632	40353	23396
633	40422	23335
634	40501	23280
635	40566	23217
636	40648	23163
637	40703	23094
638	40764	23029
639	40819	22960
640	40855	22881
641	40939	22829
642	41011	22769
643	41064	22700
644	41114	22628
645	41165	22558
646	41239	22499
647	41314	22442
648	41376	22377
649	41425	22306
650	41492	22244
651	41549	22176
652	41605	22108
653	41678	22049
654	41763	21997
655	41838	21939
656	41919	21885
657	41971	21814
658	42044	21755
659	42096	21685
660	42168	21626
661	42238	21565
662	42289	21495
663	42365	21437
664	42437	21378
665	42517	21322
666	42579	21257
667	42649	21197
668	42696	21124
669	42748	21055
670	42806	20988
671	42850	20914
672	42904	20846
673	43001	20798
674	43056	20731
675	43110	20662
676	43162	20593
677	43211	20522
678	43264	20453
679	43342	20396
680	43392	20326
681	43473	20270
682	43526	20201
683	43571	20129
684	43657	20075
685	43727	20015
686	43780	19946
687	43848	19884
688	43907	19819
689	43985	19761
690	44032	19690
691	44084	19621
692	44153	19559
693	44214	19495
694	44282	19433
695	44345	19369
696	44406	19304
697	44462	19237
698	44507	19165
699	44546	19091
700	44588	19018
701	44651	18954
702	44717	18891
703	44776	18826
704	44832	18759
705	44878	18688
706	44941	18624
707	44979	18550
708	45025	18480
709	45081	18413
