iter	Passed	Remaining
438	1343	1716
439	1346	1713
440	1349	1710
441	1351	1706
442	1354	1702
443	1357	1699
444	1360	1696
445	1363	1693
446	1365	1689
447	1368	1686
448	1371	1682
449	1373	1679
450	1376	1675
451	1379	1672
452	1381	1668
453	1384	1665
454	1387	1661
455	1389	1658
456	1392	1654
457	1395	1651
458	1398	1647
459	1400	1644
460	1404	1641
461	1407	1638
462	1410	1635
463	1413	1632
464	1416	1629
465	1419	1626
466	1422	1623
467	1425	1619
468	1427	1616
469	1430	1613
470	1433	1610
471	1436	1607
472	1439	1603
473	1442	1600
474	1445	1597
475	1448	1594
476	1451	1590
477	1453	1587
478	1456	1583
479	1458	1580
480	1461	1577
481	1464	1574
482	1467	1570
483	1470	1567
484	1472	1563
485	1475	1560
486	1478	1557
487	1480	1553
488	1483	1550
489	1486	1547
490	1488	1543
491	1491	1540
492	1494	1537
493	1497	1533
494	1499	1530
495	1502	1526
496	1506	1524
497	1509	1521
498	1512	1518
499	1514	1514
500	1517	1511
501	1520	1508
502	1523	1504
503	1525	1501
504	1528	1498
505	1531	1495
506	1533	1491
507	1536	1488
508	1539	1484
509	1541	1481
510	1544	1478
511	1547	1474
512	1549	1471
513	1552	1467
514	1554	1464
515	1557	1461
516	1560	1457
517	1563	1454
518	1565	1451
519	1569	1448
520	1571	1445
521	1574	1441
522	1577	1438
523	1580	1435
524	1582	1432
525	1585	1429
526	1588	1425
527	1591	1422
528	1594	1420
529	1598	1417
530	1601	1414
531	1604	1411
532	1607	1408
533	1610	1405
534	1613	1402
535	1615	1398
536	1618	1395
537	1622	1392
538	1625	1390
539	1628	1387
540	1631	1384
541	1634	1381
542	1637	1378
543	1640	1375
544	1643	1372
545	1647	1369
546	1650	1366
547	1653	1363
548	1656	1360
549	1659	1357
550	1662	1354
551	1665	1351
552	1668	1348
553	1671	1345
554	1674	1342
555	1677	1339
556	1680	1336
557	1683	1333
558	1686	1330
559	1689	1327
560	1693	1324
561	1696	1321
562	1699	1318
563	1702	1315
564	1705	1313
565	1708	1310
566	1712	1307
567	1715	1304
568	1718	1301
569	1721	1298
570	1725	1296
571	1728	1293
572	1731	1290
573	1733	1286
574	1737	1283
575	1740	1280
576	1743	1277
577	1746	1274
578	1749	1271
579	1752	1268
580	1755	1265
581	1758	1262
582	1760	1259
583	1763	1256
584	1766	1253
585	1769	1249
586	1772	1246
587	1774	1243
588	1777	1240
589	1780	1237
590	1783	1234
591	1786	1231
592	1789	1228
593	1792	1224
594	1794	1221
595	1797	1218
596	1799	1215
597	1802	1211
598	1805	1208
599	1808	1205
600	1812	1203
601	1815	1199
602	1817	1196
603	1820	1193
604	1823	1190
605	1826	1187
606	1828	1184
607	1831	1180
608	1833	1177
609	1836	1174
610	1839	1171
611	1842	1167
612	1845	1164
613	1847	1161
614	1850	1158
615	1852	1154
616	1855	1151
617	1858	1148
618	1861	1145
619	1863	1142
620	1866	1139
621	1869	1136
622	1872	1133
623	1875	1130
624	1878	1126
625	1880	1123
626	1883	1120
627	1885	1117
628	1888	1114
629	1891	1110
630	1894	1107
631	1896	1104
632	1899	1101
633	1902	1098
634	1905	1095
635	1908	1092
636	1911	1089
637	1913	1085
638	1916	1082
639	1919	1079
640	1922	1076
641	1925	1073
642	1928	1070
643	1931	1067
644	1933	1064
645	1937	1061
646	1939	1058
647	1942	1055
648	1945	1052
649	1948	1049
650	1951	1046
651	1955	1043
652	1957	1040
653	1960	1037
654	1963	1034
655	1966	1031
656	1969	1028
657	1972	1025
658	1974	1021
659	1977	1018
660	1980	1015
661	1982	1012
662	1985	1009
663	1988	1006
664	1991	1003
665	1994	1000
666	1996	996
667	1998	993
668	2002	990
669	2005	987
670	2008	984
671	2011	981
672	2014	978
673	2017	975
674	2021	973
675	2024	970
676	2027	967
677	2030	964
678	2033	961
679	2036	958
680	2039	955
681	2042	952
682	2045	949
683	2048	946
684	2052	943
685	2054	940
686	2057	937
687	2060	934
688	2063	931
689	2066	928
690	2070	925
691	2073	922
692	2076	920
693	2079	917
694	2083	914
695	2087	911
696	2090	908
697	2093	905
698	2096	902
699	2101	900
700	2105	898
701	2108	895
702	2112	892
703	2116	889
704	2119	887
705	2123	884
706	2127	881
707	2131	878
708	2134	876
709	2138	873
710	2142	870
711	2145	867
712	2149	865
713	2153	862
714	2156	859
715	2160	856
716	2163	853
717	2166	850
718	2169	847
719	2172	844
720	2175	841
721	2177	838
722	2180	835
723	2183	832
724	2185	829
725	2188	825
726	2191	822
727	2193	819
728	2195	816
729	2198	813
730	2201	810
731	2204	807
732	2207	803
733	2209	800
734	2212	797
735	2214	794
736	2217	791
737	2220	788
738	2222	785
739	2225	781
740	2227	778
741	2229	775
742	2231	771
743	2234	768
744	2236	765
745	2238	762
746	2241	759
747	2243	755
748	2245	752
749	2248	749
750	2250	746
751	2253	743
752	2255	739
753	2258	736
754	2260	733
755	2262	730
756	2265	727
757	2268	724
758	2270	720
759	2272	717
760	2274	714
761	2276	711
762	2279	707
763	2281	704
764	2284	701
765	2286	698
766	2289	695
767	2291	692
768	2293	688
769	2296	685
770	2298	682
771	2301	679
772	2303	676
773	2305	673
774	2307	669
775	2309	666
776	2312	663
777	2314	660
778	2317	657
779	2319	654
780	2321	651
781	2324	648
782	2326	644
783	2329	641
784	2331	638
785	2333	635
786	2335	632
787	2338	629
788	2340	625
789	2342	622
790	2344	619
791	2346	616
792	2348	613
793	2350	609
794	2353	606
795	2355	603
796	2357	600
797	2359	597
798	2361	594
799	2363	590
800	2366	587
801	2368	584
802	2370	581
803	2373	578
804	2375	575
805	2377	572
806	2379	569
807	2381	565
808	2384	562
809	2386	559
810	2388	556
811	2390	553
812	2392	550
813	2394	547
814	2395	543
815	2397	540
816	2400	537
817	2403	534
818	2405	531
819	2407	528
820	2409	525
821	2412	522
822	2413	519
823	2416	516
824	2418	513
825	2420	509
826	2422	506
827	2424	503
828	2427	500
829	2429	497
830	2431	494
831	2433	491
832	2435	488
833	2437	485
834	2439	482
835	2441	478
836	2442	475
